aalbesseblad	aalbessenblad
aanhoopingen	aanhopingen
aanhoorderen	[**aanhoorders]
aanhooren	aanhoren
aanhoorig	aanhorig
aanhoorigheden	aanhorigheden
aanhoorigheid	aanhorigheid
aanhoudenden	aanhoudende*
aanklaagsteren	[**aanklaagsters]
aanklageren	[**aanklagers]
aankleeden	aankleden
aanknoopen	aanknopen
aanknooping	aanknoping
aanknoopingen	aanknopingen
aanknoopingspunt	aanknopingspunt
aanknoopingspunten	aanknopingspunten
aankomenden	aankomende*
aankoopen	aankopen
aankooping	aankoping
aankoopingen	aankopingen
aankweekeling	aankwekeling
aankweekelinge	aankwekelinge
aankweekelingen	aankwekelingen
aankweeken	aankweken
aankweeker	aankweker
aankweekers	aankwekers
aankweeking	aankweking
aanlasschen	aanlassen
aanlassching	aanlassing
aanlasschingen	aanlassingen
aanleeren	aanleren
aanlegsteren	[**aanlegsters]
aanliggenden	aanliggende*
aanlokkelijken	aanlokkelijke*
aanlokkelijkeren	aanlokkelijkere*
aanlokkelijksten	aanlokkelijkste*
aanlooden	aanloden
aanloopen	aanlopen
aanmarcheeren	aanmarcheren
aanmarsch	aanmars
aanmatigenden	aanmatigende*
aanmerkelijken	aanmerkelijke*
aanminnigsten	aanminnigste*
aannemelijken	aannemelijke*
aannemelijkeren	aannemelijkere*
aannemelijksten	aannemelijkste*
aanpalenden	aanpalende*
aanpooten	aanpoten
aanpreeken	aanpreken
aanprikkelaren	aanprikkelare*
aanrazeeren	aanrazeren
aanrooken	aanroken
aanruischen	aanruisen
aanschouwelijken	aanschouwelijke*
aanschouwelijksten	aanschouwelijkste*
aanschouweren	[**aanschouwers]
aanslagsteenen	aanslagstenen
aansleepen	aanslepen
aansleeping	aansleping
aansleepingen	aanslepingen
aansoldeeren	aansolderen
aansprakelijken	aansprakelijke*
aanstoomen	aanstomen
aanstootelijk	aanstotelijk
aanstootelijker	aanstotelijker
aanstootelijkheden	aanstotelijkheden
aanstootelijkheid	aanstotelijkheid
aanstootelijkst	aanstotelijkst
aanstooten	aanstoten
aanstootend	aanstotend
aanstooting	aanstoting
aanstootingen	aanstotingen
aanstroomen	aanstromen
aanstudeeren	aanstuderen
aanteekenaar	aantekenaar
aanteekenaars	aantekenaars
aanteekenaren	aantekenaren
aanteekenboek	aantekenboek
aanteekenboeken	aantekenboeken
aanteekenboekje	aantekenboekje
aanteekenboekjes	aantekenboekjes
aanteekenen	aantekenen
aanteekengeld	aantekengeld
aanteekengelden	aantekengelden
aanteekening	aantekening
aanteekeningen	aantekeningen
aanteekeningetje	aantekeningetje
aanteekeningetjes	aantekeningetjes
aanteekeningspartij	aantekeningspartij
aanteekeningspartijen	aantekeningspartijen
aanteekeningspartijtje	aantekeningspartijtje
aanteekeningspartijtjes	aantekeningspartijtjes
aanteekenkantoor	aantekenkantoor
aanteekenkantoren	aantekenkantoren
aantoonen	aantonen
aantoonend	aantonend
aantooner	aantoner
aantooners	aantoners
aantooning	aantoning
aantooveren	aantoveren
aantrekkelijken	aantrekkelijke*
aantrekkelijkeren	aantrekkelijkere*
aantrekkelijksten	aantrekkelijkste*
aanvalligen	aanvallige*
aanvalskolonne	aanvalscolonne
aanvalskolonnen	aanvalscolonnes
aanvalskolonnes	aanvalscolonnes
aanvalsteeken	aanvalsteken
aanvalsteekens	aanvalstekens
aanvalsvertooning	aanvalsvertoning
aanvalsvertooningen	aanvalsvertoningen
aanvankelijken	aanvankelijke*
aanvoegenden	aanvoegende*
aanwijzenden	aanwijzende*
aanzienlijkeren	aanzienlijkere*
aanzienlijksten	aanzienlijkste*
aanzweepen	aanzwepen
aardachtigen	aardachtige*
aardappel-croquette	aardappelkroket
aardappel-croquettes	aardappelkroketten
aardbeien-jam	aardbeienjam
aardbeschrijveren	[**aardbeschrijvers]
aardbewoneren	[**aardbewoners]
aardbezie	[**aardbezie|aardbei]
aardbezieboom	[**aardbezieboom|aardbeiboom]
aardbezieboomen	[**aardbeziebomen|aardbeibomen]
aardbeziën	[**aardbeziën|aardbeien]
aardbeziënbed	[**aardbeziënbed|aardbeienbed]
aardbeziënbedden	[**aardbeziënbedden|aardbeienbedden]
aardbezieplant	[**aardbezieplant|aardbeiplant]
aardbezieplanten	[**aardbezieplanten|aardbeiplanten]
aardbeziestruik	[**aardbeziestruik|aardbeistruik]
aardbeziestruiken	[**aardbeziestruiken|aardbeistruiken]
aardewerkswinkel	aardewerkwinkel
aardewerkswinkels	aardewerkwinkels
aardhoopen	aardhopen
aardigen	aardige*
aardigeren	aardigere*
aardigsten	aardigste*
aardklooten	aardkloten
aardrijksbeschrijveren	[**aardrijksbeschrijvers]
aardsch	aards
aardschgezind	aardsgezind
aardschgezinder	aardsgezinder
aardschgezindheid	aardsgezindheid
aardschgezindst	aardsgezindst
aardschheid	aardsheid
aardvloo	aardvlo
aartsbisschoppelijken	aartsbisschoppelijke*
aartsdiakenen	aartsdiakens
aartshertogelijken	aartshertogelijke*
aartsleugenaren	aartsleugenaars
aartsvaderlijken	aartsvaderlijke*
abandonneeren	abandonneren
abeelen	abelen
abelmosch	abelmos
abonneeren	abonneren
abrikozeboom	abrikozenboom
abrikozeboomen	abrikozenbomen
abrikozepit	abrikozenpit
abrikozepitje	abrikozenpitje
abrikozepitjes	abrikozenpitjes
abrikozepitten	abrikozenpitten
absolveeren	absolveren
abstracten	abstracte*
abstracteren	abstractere*
abstractiën	abstracties
abstractsten	abstractste*
abstraheeren	abstraheren
abuseeren	abuseren
academischen	academische*
accentueeren	accentueren
acceptatiën	acceptaties
accepteeren	accepteren
achtelooze	achteloze
achteloozer	achtelozer
achtendeelen	achtendelen
achtenswaardigen	achtenswaardige*
achteraangeloopen	achteraangelopen
achteraanloopen	achteraanlopen
achterbaksch	achterbaks
achterbeenen	achterbenen
achterboomen	achterbomen
achterdeelen	achterdelen
achterdochtigen	achterdochtige*
achtereenvolgenden	achtereenvolgende*
achtergeloopen	achtergelopen
achtergevoegden	achtergevoegde*
achterhoudenden	achterhoudende*
achterkasteelen	achterkastelen
achterleenen	achterlenen
achterlijken	achterlijke*
achterlijkeren	achterlijkere*
achterlijksten	achterlijkste*
achterloopen	achterlopen
achterloopsch	achterloops
achterloopschheid	achterloopsheid
achternageloopen	achternagelopen
achternaloopen	achternalopen
achteromgeloopen	achteromgelopen
achteromloopen	achteromlopen
achteropgeloopen	achteropgelopen
achteroploopen	achteroplopen
achterpooten	achterpoten
achterstaanden	achterstaande*
achterstalligen	achterstallige*
achteruitgeloopen	achteruitgelopen
achteruitleeren	achteruitleren
achteruitloopen	achteruitlopen
achterwaartsch	achterwaarts
achtkantigen	achtkantige*
achtmaandsch	achtmaands
achtpootig	achtpotig
achtregeligen	achtregelige*
achtvoudigen	achtvoudige*
achtzijdigen	achtzijdige*
acteeren	acteren
actieveren	actievere*
actueele	actuele
acustiek	[**akoestiek]
adamsappelen	adamsappels
additioneele	additionele
adelaarsoogen	adelaarsogen
adelaarssteenen	adelaarsstenen
ademlooze	ademloze
aderigen	aderige*
aderlijken	aderlijke*
adhaesie	adhesie
adjunct-administrateuren	adjunct-administrateurs
administratiën	administraties
admitteeren	admitteren
adoniseeren	adoniseren
adresseeren	adresseren
adspirant	aspirant
adspiranten	aspiranten
adspirant-ingenieur	aspirant-ingenieur
adspirant-ingenieurs	aspirant-ingenieurs
Advent	advent
adverteeren	adverteren
advertentiën	advertenties
adviseeren	adviseren
aequator	equator
aëronaut	aeronaut
aëronauten	aeronauten
aëroplaan	[**aeroplaan|vliegtuig]
aëroplanen	[**aeroplanen|vliegtuigen]
aesculaap	esculaap
aesculapen	esculapen
aesthetica	esthetica
aesthetisch	esthetisch
aether	ether
afbestelden	afbestelde*
afbetaalden	afbetaalde*
afboomen	afbomen
afdeelen	afdelen
afdeeling	afdeling
afdeelingen	afdelingen
afdeelings-chef	afdelingschef
afdeelings-chefs	afdelingschefs
afdeelinkje	afdelinkje
afdeelinkjes	afdelinkjes
afdoenden	afdoende*
afdorschen	afdorsen
afeischen	afeisen
afexerceeren	afexerceren
affronteeren	affronteren
afgebakenden	afgebakende*
afgebeulden	afgebeulde*
afgebikten	afgebikte*
afgebladderden	afgebladderde*
afgeblokten	afgeblokte*
afgeboekten	afgeboekte*
afgeboenden	afgeboende*
afgebouwden	afgebouwde*
afgebranden	afgebrande*
afgebreiden	afgebreide*
afgebrokkelden	afgebrokkelde*
afgedaalden	afgedaalde*
afgedamden	afgedamde*
afgedankten	afgedankte*
afgedekten	afgedekte*
afgedijkten	afgedijkte*
afgedorscht	afgedorst
afgedraaiden	afgedraaide*
afgedreigden	afgedreigde*
afgedroogden	afgedroogde*
afgedrukten	afgedrukte*
afgedwaalden	afgedwaalde*
afgeëischt	afgeëist
afgegooiden	afgegooide*
afgegraasden	afgegraasde*
afgehaakten	afgehaakte*
afgehaalden	afgehaalde*
afgehakten	afgehakte*
afgehamerden	afgehamerde*
afgehandelden	afgehandelde*
afgehapten	afgehapte*
afgehaspelden	afgehaspelde*
afgehechten	afgehechte*
afgeheschen	afgehesen
afgehuurden	afgehuurde*
afgejaagden	afgejaagde*
afgejakkerden	afgejakkerde*
afgekaatsten	afgekaatste*
afgekalfden	afgekalfde*
afgekamden	afgekamde*
afgekanten	afgekante*
afgekapten	afgekapte*
afgekeerden	afgekeerde*
afgeketsten	afgeketste*
afgeklemden	afgeklemde*
afgeknaagden	afgeknaagde*
afgeknabbelden	afgeknabbelde*
afgeknakten	afgeknakte*
afgeknapten	afgeknapte*
afgeknauwden	afgeknauwde*
afgeknelden	afgeknelde*
afgeknipten	afgeknipte*
afgekochten	afgekochte*
afgekoelden	afgekoelde*
afgekookten	afgekookte*
afgekoppelden	afgekoppelde*
afgekorten	afgekorte*
afgekrabden	afgekrabde*
afgekrasten	afgekraste*
afgelakten	afgelakte*
afgeleefden	afgeleefde*
afgeleerden	afgeleerde*
afgelegden	afgelegde*
afgelegenen	afgelegenen*
afgeleverden	afgeleverde*
afgeloopen	afgelopen
afgeluisterden	afgeluisterde*
afgemaaiden	afgemaaide*
afgemaakten	afgemaakte*
afgemaalden	afgemaalde*
afgemartelden	afgemartelde*
afgemonsterden	afgemonsterde*
afgeoogsten	afgeoogste*
afgepaalden	afgepaalde*
afgepakten	afgepakte*
afgepanden	afgepande*
afgepasten	afgepaste*
afgepeilden	afgepeilde*
afgepelden	afgepelde*
afgependen	afgepende*
afgeperkten	afgeperkte*
afgepersten	afgeperste*
afgepikten	afgepikte*
afgepingelden	afgepingelde*
afgeplagden	afgeplagde*
afgeplakten	afgeplakte*
afgeplukten	afgeplukte*
afgepoeierden	afgepoeierde*
afgepoetsten	afgepoetste*
afgepompten	afgepompte*
afgepunten	afgepunte*
afgeraakten	afgeraakte*
afgerafelden	afgerafelde*
afgeraffelden	afgeraffelde*
afgerammelden	afgerammelde*
afgeranselden	afgeranselde*
afgeraspten	afgeraspte*
afgerasterden	afgerasterde*
afgeregenden	afgeregende*
afgereisden	afgereisde*
afgerekenden	afgerekende*
afgerichten	afgerichte*
afgeristen	afgeriste*
afgeritsten	afgeritste*
afgeroeiden	afgeroeide*
afgeroesten	afgeroeste*
afgeroffelden	afgeroffelde*
afgerolden	afgerolde*
afgeronden	afgeronde*
afgeroomden	afgeroomde*
afgerosten	afgeroste*
afgeruischt	afgeruist
afgerukten	afgerukte*
afgeschaafden	afgeschaafde*
afgeschaalden	afgeschaalde*
afgeschaften	afgeschafte*
afgeschampten	afgeschampte*
afgescheepten	afgescheepte*
afgeschepten	afgeschepte*
afgeschermden	afgeschermde*
afgescheurden	afgescheurde*
afgeschilden	afgeschilde*
afgeschilderden	afgeschilderde*
afgeschilferden	afgeschilferde*
afgeschraapten	afgeschraapte*
afgeschrapten	afgeschrapte*
afgeschrikten	afgeschrikte*
afgeschrobden	afgeschrobde*
afgeschroefden	afgeschroefde*
afgeschroeiden	afgeschroeide*
afgeschuimden	afgeschuimde*
afgeschuinden	afgeschuinde*
afgeschuurden	afgeschuurde*
afgesleepten	afgesleepte*
afgesloofden	afgesloofde*
afgesloopten	afgesloopte*
afgesmeekten	afgesmeekte*
afgesmeerden	afgesmeerde*
afgesnauwden	afgesnauwde*
afgesnoeiden	afgesnoeide*
afgesnoepten	afgesnoepte*
afgesopten	afgesopte*
afgespeelden	afgespeelde*
afgespiegelden	afgespiegelde*
afgesplinterden	afgesplinterde*
afgespoelden	afgespoelde*
afgestamden	afgestamde*
afgestampten	afgestampte*
afgestapten	afgestapte*
afgestelden	afgestelde*
afgestemden	afgestemde*
afgestempelden	afgestempelde*
afgestikten	afgestikte*
afgestoften	afgestofte*
afgestompten	afgestompte*
afgestookten	afgestookte*
afgestoomden	afgestoomde*
afgestooten	afgestoten
afgestopten	afgestopte*
afgestormden	afgestormde*
afgestraalden	afgestraalde*
afgestraften	afgestrafte*
afgestroomden	afgestroomde*
afgestroopten	afgestroopte*
afgestuurden	afgestuurde*
afgetakelden	afgetakelde*
afgetapten	afgetapte*
afgeteekend	afgetekend
afgetelden	afgetelde*
afgetelegrapheerd	afgetelegrafeerd
afgetelephoneerd	afgetelefoneerd
afgetikten	afgetikte*
afgetimmerden	afgetimmerde*
afgetobden	afgetobde*
afgetooverd	afgetoverd
afgetopten	afgetopte*
afgetornden	afgetornde*
afgetrapten	afgetrapte*
afgetroefden	afgetroefde*
afgetroggelden	afgetroggelde*
afgetuigden	afgetuigde*
afgeveegden	afgeveegde*
afgeveenden	afgeveende*
afgevijlden	afgevijlde*
afgevischt	afgevist
afgevlakten	afgevlakte*
afgevloeiden	afgevloeide*
afgevoegden	afgevoegde*
afgevoerden	afgevoerde*
afgevormden	afgevormde*
afgevraagden	afgevraagde*
afgevuurden	afgevuurde*
afgewaaiden	afgewaaide*
afgewachten	afgewachte*
afgewasschen	afgewassen
afgewaterden	afgewaterde*
afgeweekten	afgeweekte*
afgeweerden	afgeweerde*
afgeweiden	afgeweide*
afgewenden	afgewenden*
afgewentelden	afgewentelde*
afgewerkten	afgewerkte*
afgewimpelden	afgewimpelde*
afgewipten	afgewipte*
afgewischt	afgewist
afgewisselden	afgewisselde*
afgezaagden	afgezaagde*
afgezakten	afgezakte*
afgezeefden	afgezeefde*
afgezegden	afgezegde*
afgezochten	afgezochte*
afgezoomden	afgezoomde*
afgezouten	afgezouten*
afgezwaaiden	afgezwaaide*
afgietseldiertje	[**afgietseldiertje|amoebe]
afgodeeren	afgoderen
afgodentempelen	afgodentempels
afgodischen	afgodische*
afgodstempelen	afgodstempels
afgrijselijken	afgrijselijke*
afgrijselijkeren	afgrijselijkere*
afgrijselijksten	afgrijselijkste*
afgrijslijken	afgrijselijke*
afgunstigen	afgunstige*
afhankelijkeren	afhankelijkere*
afhijschen	afhijsen
afhoogen	afhogen
afkappingsteeken	afkappingsteken
afkappingsteekens	afkappingstekens
afkeeren	afkeren
afkeerig	afkerig
afkeeriger	afkeriger
afkeerigheden	afkerigheden
afkeerigheid	afkerigheid
afkeerigst	afkerigst
afkeering	afkering
afkeeringen	afkeringen
afkeurenswaardigen	afkeurenswaardige*
afklooven	afkloven
afkoopen	afkopen
afkooper	afkoper
afkoopers	afkopers
afkooping	afkoping
afkoopingen	afkopingen
aflaveeren	aflaveren
afleenen	aflenen
afleener	aflener
afleeners	afleners
afleening	aflening
afleeren	afleren
afleidkundigen	afleidkundige*
aflooden	afloden
aflooding	afloding
afloogen	aflogen
aflooging	afloging
afloopen	aflopen
afmarcheeren	afmarcheren
afmarsch	afmars
afoogen	afogen
afprakkezeeren	afprakkezeren
afpreeken	afpreken
afreeden	afreden
afreeding	afreding
Afrikaansch	Afrikaans
afrikaantjes	afrikaantjes
afrikanen	Afrikanen
afrondingsfreezen	afrondingsfrezen
afrooken	afroken
afroomen	afromen
afrooven	afroven
afruischen	afruisen
afschaveelen	afschavelen
afschaveeling	afschaveling
afscheidingsslooten	afscheidingssloten
afscheidspreeken	afscheidspreken
afschrijfloonen	afschrijflonen
afschuwelijken	afschuwelijke*
afschuwelijkeren	afschuwelijkere*
afschuwelijksten	afschuwelijkste*
afschuwwekkenden	afschuwwekkende*
afsleepen	afslepen
afsloopen	afslopen
afslooten	afsloten
afslooting	afsloting
afslootingen	afslotingen
afsluitingsdeelen	afsluitingsdelen
afsmeeken	afsmeken
afsmeeking	afsmeking
afstoomen	afstomen
afstootboomen	afstootbomen
afstooten	afstoten
afstooter	afstoter
afstooters	afstoters
afstooting	afstoting
afstootingen	afstotingen
afstroomen	afstromen
afstrooming	afstroming
afstroomingen	afstromingen
afstroopen	afstropen
afstudeeren	afstuderen
aftandsch	aftands
afteekenaar	aftekenaar
afteekenaars	aftekenaars
afteekenen	aftekenen
afteekening	aftekening
afteekeningen	aftekeningen
aftelegrapheeren	aftelegraferen
aftelephoneeren	aftelefoneren
aftoomen	aftomen
aftoonen	aftonen
aftooveren	aftoveren
aftroonen	aftronen
afvisschen	afvissen
afwaartsch	afwaarts
afwasschen	afwassen
afwassching	afwassing
afwasschingen	afwassingen
afweeken	afweken
afweeking	afweking
afweekingen	afwekingen
afweenen	afwenen
afwezenden	afwezende*
afwisschen	afwissen
afzeepen	afzepen
afzichtelijken	afzichtelijke*
afzichtelijksten	afzichtelijkste*
afzonderlijken	afzonderlijke*
afzoomen	afzomen
afzweepen	afzwepen
ageeren	ageren
agitatiën	agitaties
agiteeren	agiteren
agurk	augurk
akeligen	akelige*
akeligeren	akeligere*
akeligsten	akeligste*
akkermaalsbosch	akkermaalsbos
akkermaalsbosschen	akkermaalsbossen
alarmeeren	alarmeren
albestuurder	Albestuurder
alcoholischen	alcoholische*
alcoholvrijen	alcoholvrije*
algeheele	algehele
algemeener	algemener
alledaagsch	alledaags
alledaagschheid	alledaagsheid
alleenheerscher	alleenheerser
alleenheerschers	alleenheersers
alleenzaligmakenden	alleenzaligmakende*
allegorischen	allegorische*
allerbesten	allerbeste*
allerliefsten	allerliefste*
allermeesten	allermeeste*
alliantiën	allianties
allocutiën	allocuties
almachtigen	almachtige*
almogenden	almogende*
alomtegenwoordigen	alomtegenwoordige*
alomvattenden	alomvattende*
alpha	alfa
alphabet	alfabet
alphabetisch	alfabetisch
alphabetiseerde	alfabetiseerde
alphabetiseeren	alfabetiseren
alphabetten	alfabetten
alpha's	alfa's
alreede	alrede
altaartafelen	altaartafels
altijddurenden	altijddurende*
altoosdurenden	altoosdurende*
alvleeschklier	alvleesklier
alvleeschklieren	alvleesklieren
alvleeschsap	alvleessap
alwetenden	alwetende*
alzienden	alziende*
alzijdigen	alzijdige*
alzoo	[**alzo]
amalgamen	[**amalgamen]
amateur-photograaf	amateurfotograaf
amateur-photografen	amateurfotografen
amazonenkleederen	amazonenklederen
ambachtsheeren	ambachtsheren
ambtelijken	ambtelijke
ambtelooze	ambteloze
ambtgenooten	ambtgenoten
ambtseeden	ambtseden
ambtskleederen	ambtsklederen
ambtsteeken	ambtsteken
ambtsteekenen	ambtstekenen
ambulance-dienst	ambulancedienst
ambulance-dokter	ambulancedokter
ambulance-dokters	ambulancedokters
ambulance-trein	ambulancetrein
ambulance-wagen	ambulancewagen
ambulance-wagens	ambulancewagens
amechtigen	amechtige*
amendeeren	amenderen
Americanisme	Amerikanisme
americanismen	Amerikanismen
Amerikaansch	Amerikaans
amfioenkitten	[**amfioenkitten|opiumkitten]
amfioenpacht	[**amfioenpacht|opiumpacht]
amortisatiën	amortisaties
amortiseeren	amortiseren
amphitheater	amfitheater
amphitheaters	amfitheaters
amphitheatersgewijze	amfitheatersgewijze
amuseeren	amuseren
analytischen	analytische*
anarchistenkomplot	anarchistencomplot
anarchistenkomplotten	anarchistencomplotten
anatomischen	anatomische*
ancienniteit	anciënniteit
anderdaagsch	anderdaags
anemieken	anemieke*
anemischen	anemische*
Anglicaan	anglicaan
Anglicaansch	anglicaans
Anglicanen	anglicanen
angstigen	angstige*
angstigeren	angstigere*
angstigsten	angstigste*
angstvalligen	angstvallige*
annexatiën	annexaties
annexeeren	annexeren
anoniemen	anonieme*
anonymiteit	anonimiteit
anthraciet	antraciet
anthracietkolen	antracietkolen
anthracietkool	antracietkool
anthropologen	antropologen
anthropologie	antropologie
anthropoloog	antropoloog
anticritiek	antikritiek 
anticritieken	antikritieke*
antiekeren	antiekere*
apenbroodboomen	apenbroodbomen
apocriefen	apocriefe*
apodictischen	apodictische*
apostolischen	apostolische*
apothekersfleschje	apothekersflesje
apothekersfleschjes	apothekersflesjes
appelboomen	appelbomen
appelleeren	appelleren
applaudisseeren	applaudisseren
approbatiën	approbaties
approbeeren	approberen
April	april
arabieren	Arabieren
arabisch	Arabisch
arbeidsloonen	arbeidslonen
arceeren	arceren
arceering	arcering
arceeringen	arceringen
archaeologen	archeologen
archaeologie	archeologie
archaeoloog	archeoloog
architectonischen	architectonische*
arendsoogen	arendsogen
argelooze	argeloze
argeloozer	argelozer
arglistigen	arglistige*
argusoogen	argusogen
argwanenden	argwanende*
aristocratischen	aristocratische*
armelijken	armelijke*
armlastigen	armlastige*
armoedigen	armoedige*
armoedigeren	armoedigere*
armoedigsten	armoedigste*
armzaligen	armzalige*
armzaligeren	armzaligere*
armzaligsten	armzaligste*
aromatischen	aromatische*
arresteeren	arresteren
arrondissements-rechtbank	arrondissementsrechtbank
arrondissements-rechtbanken	arrondissementsrechtbanken
arrondissements-rechter	arrondissementsrechter
arrondissements-rechters	arrondissementsrechters
arrondissements-schoolopziener	arrondissementsschoolopziener
arrondissements-schoolopzieners	arrondissementsschoolopzieners
articuleeren	articuleren
artillerie-park	artilleriepark
artillerie-parken	artillerieparken
artillerie-vuur	artillerievuur
artist	artiest
artiste	artieste
artisten	artiesten
artistieken	artistieke*
asch	as
aschbelt	asbelt
aschbelten	asbelten
aschbezem	asbezem
aschbezems	asbezems
aschblond	asblond
aschdag	asdag
aschhoop	ashoop
aschhoopen	ashopen
aschkar	askar
aschkarren	askarren
aschlieden	aslieden
aschlui	aslui
aschman	asman
aschstaal	asstaal
aschstalen	asstalen
aschwoensdag	aswoensdag
asperge-bed	aspergebed
asperge-bedden	aspergebedden
asperge-tang	aspergetang
asperge-tangen	aspergetangen
asphalt	asfalt
asschewoensdag	aswoensdag
assignatiën	assignaties
assurantie-kantoor	assurantiekantoor
assurantie-kantoren	assurantiekantoren
assurantie-premie	assurantiepremie
assurantie-premiën	assurantiepremies
assureeren	assureren
asthma	astma
asthmapapier	astmapapier
asthmatisch	astmatisch
astronomischen	astronomische*
asyl	asiel
asylen	asielen
athenaea	athenea
athenaeum	atheneum
athenaeums	atheneums
athleet	atleet
athleten	atleten
atmosferischen	atmosferische*
attentiën	attenties
attestatiën	attestaties
attesteeren	attesteren
audientie	audiëntie
audientieblad	audiëntieblad
audientiebladen	audiëntiebladen
audientiën	audiënties
audienties	audiënties
Augustus	[**Augustus|augustus]
authentieken	authentieke*
automatischen	automatische*
averechtsch	averechts
avond-editie	avondeditie
avond-edities	avondedities
avontuurlijken	avontuurlijke*
azigen	azige*
azijnachtigen	azijnachtige*
